instanceType,instanceFamily,instanceFamilyName,processor,processorFeatures,vCpus,vCpuCores,vCpuThreadsPerCore,memorySizeInMiB,memorySizeInGiB,storage,storageTotalSizeInGB,networkPerformance,gpuTotalGpuMemoryInMiB,gpuTotalGpuMemoryInGiB,gpuCount,gpuName,gpuMemorySizeInMiB,onDemandLinuxHr,onDemandLinuxMonth,spotLinuxHr,spotLinuxMonth,processorClockSpeedInGhz,location,locationName,locationType,locationContinent,storageSupported,gpuManufacturer,currentGeneration,supportedUsageClasses,supportedRootDeviceTypes,supportedVirtualizationTypes,bareMetal,hypervisor,processorArchitectures,processorManufacturer,storageNvmeSupport,storageEncryptionSupport,ebsOptimizedSupport,ebsEncryptionSupport,ebsOptimizedBaselineBandwidthInMbps,ebsOptimizedBaselineThroughputInMBps,ebsOptimizedBaselineIops,ebsOptimizedMaxBandwidthInMbps,ebsOptimizedMaxThroughputInMBps,ebsOptimizedMaxIops,ebsNvmeSupport,onDemandSuseHr,onDemandSuseMonth,onDemandRhelHr,onDemandRhelMonth
c3.large,c3,"Compute optimized","Intel Xeon E5-2680 v2 (Ivy Bridge)","Intel AVX; Intel Turbo",2.0,1.0,2.0,3840.0,3.75,"2 x 16 SSD",32.0,Moderate,0.0,0.0,0,"","",0.105,76.65,0.0283,20.66,2.8,us-east-1,"US East (N. Virginia)","AWS Region","North America",1,"",0,"on-demand, spot","ebs, instance-store","hvm, paravirtual",0,xen,"i386, x86_64",Intel,unsupported,unsupported,unsupported,supported,0.0,0.0,0.0,0.0,0.0,0.0,unsupported,0.205,149.65,0.134,97.82
c3.xlarge,c3,"Compute optimized","Intel Xeon E5-2680 v2 (Ivy Bridge)","Intel AVX; Intel Turbo",4.0,2.0,2.0,7680.0,7.5,"2 x 40 SSD",80.0,Moderate,0.0,0.0,0,"","",0.21,153.3,0.0718,52.41,2.8,us-east-1,"US East (N. Virginia)","AWS Region","North America",1,"",0,"on-demand, spot","ebs, instance-store","hvm, paravirtual",0,xen,x86_64,Intel,unsupported,unsupported,supported,supported,500.0,63.0,4000.0,500.0,63.0,4000.0,unsupported,0.31,226.3,0.268,195.64
c4.2xlarge,c4,"Compute optimized","Intel Xeon E5-2666 v3 (Haswell)","Intel AVX; Intel AVX2; Intel Turbo",8.0,4.0,2.0,15360.0,15.0,"EBS only",0.0,High,0.0,0.0,0,"","",0.398,290.54,0.1587,115.85,2.9,us-east-1,"US East (N. Virginia)","AWS Region","North America",0,"",0,"on-demand, spot",ebs,hvm,0,xen,x86_64,Intel,"","",default,supported,1000.0,125.0,8000.0,1000.0,125.0,8000.0,unsupported,0.498,363.54,0.515,375.95
c4.4xlarge,c4,"Compute optimized","Intel Xeon E5-2666 v3 (Haswell)","Intel AVX; Intel AVX2; Intel Turbo",16.0,8.0,2.0,30720.0,30.0,"EBS only",0.0,High,0.0,0.0,0,"","",0.796,581.08,0.2862,208.93,2.9,us-east-1,"US East (N. Virginia)","AWS Region","North America",0,"",0,"on-demand, spot",ebs,hvm,0,xen,x86_64,Intel,"","",default,supported,2000.0,250.0,16000.0,2000.0,250.0,16000.0,unsupported,0.896,654.08,0.973,710.29
c4.8xlarge,c4,"Compute optimized","Intel Xeon E5-2666 v3 (Haswell)","Intel AVX; Intel AVX2; Intel Turbo",36.0,18.0,2.0,61440.0,60.0,"EBS only",0.0,"10 Gigabit",0.0,0.0,0,"","",1.591,1161.43,0.5209,380.26,2.9,us-east-1,"US East (N. Virginia)","AWS Region","North America",0,"",0,"on-demand, spot",ebs,hvm,0,xen,x86_64,Intel,"","",default,supported,4000.0,500.0,32000.0,4000.0,500.0,32000.0,unsupported,1.691,1234.43,1.989,1451.97
c4.large,c4,"Compute optimized","Intel Xeon E5-2666 v3 (Haswell)","Intel AVX; Intel AVX2; Intel Turbo",2.0,1.0,2.0,3840.0,3.75,"EBS only",0.0,Moderate,0.0,0.0,0,"","",0.1,73.0,0.0309,22.56,2.9,us-east-1,"US East (N. Virginia)","AWS Region","North America",0,"",0,"on-demand, spot",ebs,hvm,0,xen,x86_64,Intel,"","",default,supported,500.0,63.0,4000.0,500.0,63.0,4000.0,unsupported,0.2,146.0,0.129,94.17
c4.xlarge,c4,"Compute optimized","Intel Xeon E5-2666 v3 (Haswell)","Intel AVX; Intel AVX2; Intel Turbo",4.0,2.0,2.0,7680.0,7.5,"EBS only",0.0,High,0.0,0.0,0,"","",0.199,145.27,0.0591,43.14,2.9,us-east-1,"US East (N. Virginia)","AWS Region","North America",0,"",0,"on-demand, spot",ebs,hvm,0,xen,x86_64,Intel,"","",default,supported,750.0,94.0,6000.0,750.0,94.0,6000.0,unsupported,0.299,218.27,0.258,188.34
c5.12xlarge,c5,"Compute optimized","Intel Xeon Platinum 8275L","Intel AVX; Intel AVX2; Intel AVX512; Intel Deep Learning Boost; Intel Turbo",48.0,24.0,2.0,98304.0,96.0,"EBS only",0.0,"12 Gigabit",0.0,0.0,0,"","",2.04,1489.2,0.5321,388.43,3.6,us-east-1,"US East (N. Virginia)","AWS Region","North America",0,"",1,"on-demand, spot",ebs,hvm,0,nitro,x86_64,Intel,"","",default,supported,9500.0,1188.0,40000.0,9500.0,1188.0,40000.0,required,2.14,1562.2,2.558,1867.34
c5.18xlarge,c5,"Compute optimized","Intel Xeon Platinum 8124M","Intel AVX; Intel AVX2; Intel AVX512; Intel Turbo",72.0,36.0,2.0,147456.0,144.0,"EBS only",0.0,"25 Gigabit",0.0,0.0,0,"","",3.06,2233.8,0.845,616.85,3.4,us-east-1,"US East (N. Virginia)","AWS Region","North America",0,"",1,"on-demand, spot",ebs,hvm,0,nitro,x86_64,Intel,"","",default,supported,19000.0,2375.0,80000.0,19000.0,2375.0,80000.0,required,3.16,2306.8,3.838,2801.74
c5.24xlarge,c5,"Compute optimized","Intel Xeon Platinum 8275L","Intel AVX; Intel AVX2; Intel AVX512; Intel Deep Learning Boost; Intel Turbo",96.0,48.0,2.0,196608.0,192.0,"EBS only",0.0,"25 Gigabit",0.0,0.0,0,"","",4.08,2978.4,0.9011,657.8,3.6,us-east-1,"US East (N. Virginia)","AWS Region","North America",0,"",1,"on-demand, spot",ebs,hvm,0,nitro,x86_64,Intel,"","",default,supported,19000.0,2375.0,80000.0,19000.0,2375.0,80000.0,required,4.18,3051.4,5.117,3735.41
c5.2xlarge,c5,"Compute optimized","Intel Xeon Platinum 8124M","Intel AVX; Intel AVX2; Intel AVX512; Intel Turbo",8.0,4.0,2.0,16384.0,16.0,"EBS only",0.0,"Up to 10 Gigabit",0.0,0.0,0,"","",0.34,248.2,0.1294,94.46,3.4,us-east-1,"US East (N. Virginia)","AWS Region","North America",0,"",1,"on-demand, spot",ebs,hvm,0,nitro,x86_64,Intel,"","",default,supported,2300.0,288.0,10000.0,4750.0,594.0,20000.0,required,0.44,321.2,0.455,332.15
