instanceType,instanceFamily,instanceFamilyName,processor,processorFeatures,vCpus,vCpuCores,vCpuThreadsPerCore,memorySizeInMiB,memorySizeInGiB,storage,storageTotalSizeInGB,networkPerformance,gpuTotalGpuMemoryInMiB,gpuTotalGpuMemoryInGiB,gpuCount,gpuName,gpuMemorySizeInMiB,onDemandLinuxHr,onDemandLinuxMonth,spotLinuxHr,spotLinuxMonth,processorClockSpeedInGhz,location,locationName,locationType,locationContinent,storageSupported,gpuManufacturer,currentGeneration,supportedUsageClasses,supportedRootDeviceTypes,supportedVirtualizationTypes,bareMetal,hypervisor,processorArchitectures,processorManufacturer,storageNvmeSupport,storageEncryptionSupport,ebsOptimizedSupport,ebsEncryptionSupport,ebsOptimizedBaselineBandwidthInMbps,ebsOptimizedBaselineThroughputInMBps,ebsOptimizedBaselineIops,ebsOptimizedMaxBandwidthInMbps,ebsOptimizedMaxThroughputInMBps,ebsOptimizedMaxIops,ebsNvmeSupport,onDemandSuseHr,onDemandSuseMonth,onDemandRhelHr,onDemandRhelMonth
i3.8xlarge,i3,"Storage optimized","Intel Xeon E5-2686 v4 (Broadwell)","Intel AVX; Intel AVX2; Intel Turbo",32.0,16.0,2.0,249856.0,244.0,"4 x 1900 NVMe SSD",7600.0,"10 Gigabit",0.0,0.0,0,"","",2.496,1822.08,0.7389,539.4,2.3,us-east-1,"US East (N. Virginia)","AWS Region","North America",1,"",1,"on-demand, spot",ebs,hvm,0,xen,x86_64,Intel,required,required,default,supported,7000.0,875.0,32500.0,7000.0,875.0,32500.0,supported,2.596,1895.08,2.842,2074.66
i3.large,i3,"Storage optimized","Intel Xeon E5-2686 v4 (Broadwell)","Intel AVX; Intel AVX2; Intel Turbo",2.0,1.0,2.0,15616.0,15.25,"1 x 475 NVMe SSD",475.0,"Up to 10 Gigabit",0.0,0.0,0,"","",0.156,113.88,0.016,11.68,2.3,us-east-1,"US East (N. Virginia)","AWS Region","North America",1,"",1,"on-demand, spot",ebs,hvm,0,xen,x86_64,Intel,required,required,default,supported,425.0,53.0,3000.0,425.0,53.0,3000.0,supported,0.256,186.88,0.185,135.05
i3.metal,i3,"Storage optimized","Intel Xeon E5-2686 v4 (Broadwell)","Intel AVX; Intel AVX2; Intel Turbo",72.0,36.0,2.0,524288.0,512.0,"8 x 1900 NVMe SSD",15200.0,"25 Gigabit",0.0,0.0,0,"","",4.992,3644.16,0.5019,366.39,2.3,us-east-1,"US East (N. Virginia)","AWS Region","North America",1,"",1,"on-demand, spot",ebs,hvm,1,"",x86_64,Intel,required,required,default,supported,19000.0,2375.0,80000.0,19000.0,2375.0,80000.0,required,5.092,3717.16,5.77,4212.1
i3.xlarge,i3,"Storage optimized","Intel Xeon E5-2686 v4 (Broadwell)","Intel AVX; Intel AVX2; Intel Turbo",4.0,2.0,2.0,31232.0,30.5,"1 x 950 NVMe SSD",950.0,"Up to 10 Gigabit",0.0,0.0,0,"","",0.312,227.76,0.1156,84.39,2.3,us-east-1,"US East (N. Virginia)","AWS Region","North America",1,"",1,"on-demand, spot",ebs,hvm,0,xen,x86_64,Intel,required,required,default,supported,850.0,106.0,6000.0,850.0,106.0,6000.0,supported,0.412,300.76,0.37,270.1
i3en.12xlarge,i3en,"Storage optimized","Intel Xeon Platinum 8175","Intel AVX; Intel AVX2; Intel AVX512; Intel Turbo",48.0,24.0,2.0,393216.0,384.0,"4 x 7500 NVMe SSD",30000.0,"50 Gigabit",0.0,0.0,0,"","",5.424,3959.52,1.8221,1330.13,3.1,us-east-1,"US East (N. Virginia)","AWS Region","North America",1,"",1,"on-demand, spot",ebs,hvm,0,nitro,x86_64,Intel,required,required,default,supported,9500.0,1188.0,40000.0,9500.0,1188.0,40000.0,required,5.549,4050.77,5.942,4337.66
i3en.24xlarge,i3en,"Storage optimized","Intel Xeon Platinum 8175","Intel AVX; Intel AVX2; Intel AVX512; Intel Turbo",96.0,48.0,2.0,786432.0,768.0,"8 x 7500 NVMe SSD",60000.0,"100 Gigabit",0.0,0.0,0,"","",10.848,7919.04,1.6916,1234.87,3.1,us-east-1,"US East (N. Virginia)","AWS Region","North America",1,"",1,"on-demand, spot",ebs,hvm,0,nitro,x86_64,Intel,required,required,default,supported,19000.0,2375.0,80000.0,19000.0,2375.0,80000.0,required,10.973,8010.29,11.885,8676.05
i3en.2xlarge,i3en,"Storage optimized","Intel Xeon Platinum 8175","Intel AVX; Intel AVX2; Intel AVX512; Intel Turbo",8.0,4.0,2.0,65536.0,64.0,"2 x 2500 NVMe SSD",5000.0,"Up to 25 Gigabit",0.0,0.0,0,"","",0.904,659.92,0.2976,217.25,3.1,us-east-1,"US East (N. Virginia)","AWS Region","North America",1,"",1,"on-demand, spot",ebs,hvm,0,nitro,x86_64,Intel,required,required,default,supported,2307.0,288.0,12000.0,4750.0,594.0,20000.0,required,1.029,751.17,1.019,743.87
i3en.3xlarge,i3en,"Storage optimized","Intel Xeon Platinum 8175","Intel AVX; Intel AVX2; Intel AVX512; Intel Turbo",12.0,6.0,2.0,98304.0,96.0,"1 x 7500 NVMe SSD",7500.0,"Up to 25 Gigabit",0.0,0.0,0,"","",1.356,989.88,0.3897,284.48,3.1,us-east-1,"US East (N. Virginia)","AWS Region","North America",1,"",1,"on-demand, spot",ebs,hvm,0,nitro,x86_64,Intel,required,required,default,supported,3800.0,475.0,15000.0,4750.0,594.0,20000.0,required,1.481,1081.13,1.486,1084.78
i3en.6xlarge,i3en,"Storage optimized","Intel Xeon Platinum 8175","Intel AVX; Intel AVX2; Intel AVX512; Intel Turbo",24.0,12.0,2.0,196608.0,192.0,"2 x 7500 NVMe SSD",15000.0,"25 Gigabit",0.0,0.0,0,"","",2.712,1979.76,0.6841,499.39,3.1,us-east-1,"US East (N. Virginia)","AWS Region","North America",1,"",1,"on-demand, spot",ebs,hvm,0,nitro,x86_64,Intel,required,required,default,supported,4750.0,594.0,20000.0,4750.0,594.0,20000.0,required,2.837,2071.01,2.971,2168.83
i3en.large,i3en,"Storage optimized","Intel Xeon Platinum 8175","Intel AVX; Intel AVX2; Intel AVX512; Intel Turbo",2.0,1.0,2.0,16384.0,16.0,"1 x 1250 NVMe SSD",1250.0,"Up to 25 Gigabit",0.0,0.0,0,"","",0.226,164.98,0.0306,22.34,3.1,us-east-1,"US East (N. Virginia)","AWS Region","North America",1,"",1,"on-demand, spot",ebs,hvm,0,nitro,x86_64,Intel,required,required,default,supported,576.0,72.0,3000.0,4750.0,594.0,20000.0,required,0.282,205.86,0.255,186.15
i3en.metal,i3en,"Storage optimized","Intel Xeon Platinum 8175","Intel AVX; Intel AVX2; Intel AVX512; Intel Turbo",96.0,48.0,2.0,786432.0,768.0,"8 x 7500 NVMe SSD",60000.0,"100 Gigabit",0.0,0.0,0,"","",10.848,7919.04,1.0848,791.9,3.1,us-east-1,"US East (N. Virginia)","AWS Region","North America",1,"",1,"on-demand, spot",ebs,hvm,1,"",x86_64,Intel,required,required,default,supported,19000.0,2375.0,80000.0,19000.0,2375.0,80000.0,required,10.973,8010.29,11.885,8676.05
i3en.xlarge,i3en,"Storage optimized","Intel Xeon Platinum 8175","Intel AVX; Intel AVX2; Intel AVX512; Intel Turbo",4.0,2.0,2.0,32768.0,32.0,"1 x 2500 NVMe SSD",2500.0,"Up to 25 Gigabit",0.0,0.0,0,"","",0.452,329.96,0.1187,86.65,3.1,us-east-1,"US East (N. Virginia)","AWS Region","North America",1,"",1,"on-demand, spot",ebs,hvm,0,nitro,x86_64,Intel,required,required,default,supported,1153.0,144.0,6000.0,4750.0,594.0,20000.0,required,0.508,370.84,0.51,372.3
i4g.16xlarge,i4g,"Storage optimized","AWS Graviton2 Processor","",64.0,64.0,1.0,524288.0,512.0,"4 x 3750 SSD",15000.0,"37.5 Gigabit",0.0,0.0,0,"","",4.9421,3607.72,0.6209,453.26,2.5,us-east-1,"US East (N. Virginia)","AWS Region","North America",1,"",1,"on-demand, spot",ebs,hvm,0,nitro,arm64,AWS,required,required,default,supported,20000.0,2500.0,80000.0,20000.0,2500.0,80000.0,required,5.0671,3698.97,5.6333,4112.29
i4g.2xlarge,i4g,"Storage optimized","AWS Graviton2 Processor","",8.0,8.0,1.0,65536.0,64.0,"1 x 1875 SSD",1875.0,"Up to 12 Gigabit",0.0,0.0,0,"","",0.6178,450.96,0.1591,116.14,2.5,us-east-1,"US East (N. Virginia)","AWS Region","North America",1,"",1,"on-demand, spot",ebs,hvm,0,nitro,arm64,AWS,required,required,default,supported,2500.0,313.0,10000.0,10000.0,1250.0,40000.0,required,0.7428,542.21,0.733,535.06
i4g.4xlarge,i4g,"Storage optimized","AWS Graviton2 Processor","",16.0,16.0,1.0,131072.0,128.0,"1 x 3750 SSD",3750.0,"Up to 25 Gigabit",0.0,0.0,0,"","",1.2355,901.93,0.4163,303.9,2.5,us-east-1,"US East (N. Virginia)","AWS Region","North America",1,"",1,"on-demand, spot",ebs,hvm,0,nitro,arm64,AWS,required,required,default,supported,5000.0,625.0,20000.0,10000.0,1250.0,40000.0,required,1.3605,993.18,1.4083,1028.07
i4g.8xlarge,i4g,"Storage optimized","AWS Graviton2 Processor","",32.0,32.0,1.0,262144.0,256.0,"2 x 3750 SSD",7500.0,"18.75 Gigabit",0.0,0.0,0,"","",2.471,1803.86,0.9047,660.43,2.5,us-east-1,"US East (N. Virginia)","AWS Region","North America",1,"",1,"on-demand, spot",ebs,hvm,0,nitro,arm64,AWS,required,required,default,supported,10000.0,1250.0,40000.0,10000.0,1250.0,40000.0,required,2.596,1895.11,2.8166,2056.15
i4g.large,i4g,"Storage optimized","AWS Graviton2 Processor","",2.0,2.0,1.0,16384.0,16.0,"1 x 468 SSD",468.0,"Up to 10 Gigabit",0.0,0.0,0,"","",0.1544,112.74,0.0487,35.55,2.5,us-east-1,"US East (N. Virginia)","AWS Region","North America",1,"",1,"on-demand, spot",ebs,hvm,0,nitro,arm64,AWS,required,required,default,supported,625.0,78.0,2500.0,10000.0,1250.0,40000.0,required,0.2107,153.84,0.1832,133.77
i4g.xlarge,i4g,"Storage optimized","AWS Graviton2 Processor","",4.0,4.0,1.0,32768.0,32.0,"1 x 937 SSD",937.0,"Up to 10 Gigabit",0.0,0.0,0,"","",0.3089,225.48,0.0884,64.53,2.5,us-east-1,"US East (N. Virginia)","AWS Region","North America",1,"",1,"on-demand, spot",ebs,hvm,0,nitro,arm64,AWS,required,required,default,supported,1250.0,156.0,5000.0,10000.0,1250.0,40000.0,required,0.3652,266.58,0.3665,267.53
i4i.12xlarge,i4i,"Storage optimized","Intel Xeon 8375C (Ice Lake)","Intel AVX; Intel AVX2; Intel AVX512; Intel Turbo",48.0,24.0,2.0,393216.0,384.0,"3 x 3750 NVMe SSD",11250.0,"28.12 Gigabit",0.0,0.0,0,"","",4.118,3006.14,1.3671,997.98,3.5,us-east-1,"US East (N. Virginia)","AWS Region","North America",1,"",1,"on-demand, spot",ebs,hvm,0,nitro,x86_64,Intel,required,required,default,supported,15000.0,1875.0,60000.0,15000.0,1875.0,60000.0,required,4.243,3097.39,4.637,3385.01
i4i.16xlarge,i4i,"Storage optimized","Intel Xeon 8375C (Ice Lake)","Intel AVX; Intel AVX2; Intel AVX512; Intel Turbo",64.0,32.0,2.0,524288.0,512.0,"4 x 3750 NVMe SSD",15000.0,"37.5 Gigabit",0.0,0.0,0,"","",5.491,4008.43,1.6613,1212.75,3.5,us-east-1,"US East (N. Virginia)","AWS Region","North America",1,"",1,"on-demand, spot",ebs,hvm,0,nitro,x86_64,Intel,required,required,default,supported,20000.0,2500.0,80000.0,20000.0,2500.0,80000.0,required,5.616,4099.68,6.182,4512.86
i4i.24xlarge,i4i,"Storage optimized","Intel Xeon 8375C (Ice Lake)","Intel AVX; Intel AVX2; Intel AVX512; Intel Turbo",96.0,48.0,2.0,786432.0,768.0,"6 x 3750 NVMe SSD",22500.0,"56.25 Gigabit",0.0,0.0,0,"","",8.2368,6012.86,1.9259,1405.91,3.5,us-east-1,"US East (N. Virginia)","AWS Region","North America",1,"",1,"on-demand, spot",ebs,hvm,0,nitro,x86_64,Intel,required,required,default,supported,30000.0,3750.0,120000.0,30000.0,3750.0,120000.0,required,8.3618,6104.11,9.2736,6769.73
i4i.2xlarge,i4i,"Storage optimized","Intel Xeon 8375C (Ice Lake)","Intel AVX; Intel AVX2; Intel AVX512; Intel Turbo",8.0,4.0,2.0,65536.0,64.0,"1 x 1875 NVMe SSD",1875.0,"Up to 12 Gigabit",0.0,0.0,0,"","",0.686,500.78,0.2325,169.73,3.5,us-east-1,"US East (N. Virginia)","AWS Region","North America",1,"",1,"on-demand, spot",ebs,hvm,0,nitro,x86_64,Intel,required,required,default,supported,2500.0,313.0,10000.0,10000.0,1250.0,40000.0,required,0.811,592.03,0.802,585.46
i4i.32xlarge,i4i,"Storage optimized","Intel Xeon 8375C (Ice Lake)","Intel AVX; Intel AVX2; Intel AVX512; Intel Turbo",128.0,64.0,2.0,1048576.0,1024.0,"8 x 3750 SSD",30000.0,"75 Gigabit",0.0,0.0,0,"","",10.9824,8017.15,3.0036,2192.63,3.5,us-east-1,"US East (N. Virginia)","AWS Region","North America",1,"",1,"on-demand, spot",ebs,hvm,0,nitro,x86_64,Intel,required,required,default,supported,40000.0,5000.0,160000.0,40000.0,5000.0,160000.0,required,11.1074,8108.4,12.2112,8914.18
i4i.4xlarge,i4i,"Storage optimized","Intel Xeon 8375C (Ice Lake)","Intel AVX; Intel AVX2; Intel AVX512; Intel Turbo",16.0,8.0,2.0,131072.0,128.0,"1 x 3750 NVMe SSD",3750.0,"Up to 25 Gigabit",0.0,0.0,0,"","",1.373,1002.29,0.626,456.98,3.5,us-east-1,"US East (N. Virginia)","AWS Region","North America",1,"",1,"on-demand, spot",ebs,hvm,0,nitro,x86_64,Intel,required,required,default,supported,5000.0,625.0,20000.0,10000.0,1250.0,40000.0,required,1.498,1093.54,1.546,1128.58
i4i.8xlarge,i4i,"Storage optimized","Intel Xeon 8375C (Ice Lake)","Intel AVX; Intel AVX2; Intel AVX512; Intel Turbo",32.0,16.0,2.0,262144.0,256.0,"2 x 3750 NVMe SSD",7500.0,"18.75 Gigabit",0.0,0.0,0,"","",2.746,2004.58,1.1303,825.12,3.5,us-east-1,"US East (N. Virginia)","AWS Region","North America",1,"",1,"on-demand, spot",ebs,hvm,0,nitro,x86_64,Intel,required,required,default,supported,10000.0,1250.0,40000.0,10000.0,1250.0,40000.0,required,2.871,2095.83,3.091,2256.43
i4i.large,i4i,"Storage optimized","Intel Xeon 8375C (Ice Lake)","Intel AVX; Intel AVX2; Intel AVX512; Intel Turbo",2.0,1.0,2.0,16384.0,16.0,"1 x 468 NVMe SSD",468.0,"Up to 10 Gigabit",0.0,0.0,0,"","",0.172,125.56,0.039,28.47,3.5,us-east-1,"US East (N. Virginia)","AWS Region","North America",1,"",1,"on-demand, spot",ebs,hvm,0,nitro,x86_64,Intel,required,required,default,supported,625.0,78.0,2500.0,10000.0,1250.0,40000.0,required,0.228,166.44,0.2,146.0
i4i.metal,i4i,"Storage optimized","Intel Xeon 8375C (Ice Lake)","Intel AVX; Intel AVX2; Intel AVX512; Intel Turbo",128.0,64.0,2.0,1048576.0,1024.0,"8 x 3750 NVMe SSD",30000.0,"75 Gigabit",0.0,0.0,0,"","",10.982,8016.86,1.0982,801.69,3.5,us-east-1,"US East (N. Virginia)","AWS Region","North America",1,"",1,"on-demand, spot",ebs,hvm,1,"",x86_64,Intel,required,required,default,supported,40000.0,5000.0,160000.0,40000.0,5000.0,160000.0,required,11.107,8108.11,12.211,8914.03
i4i.xlarge,i4i,"Storage optimized","Intel Xeon 8375C (Ice Lake)","Intel AVX; Intel AVX2; Intel AVX512; Intel Turbo",4.0,2.0,2.0,32768.0,32.0,"1 x 937 NVMe SSD",937.0,"Up to 10 Gigabit",0.0,0.0,0,"","",0.343,250.39,0.1134,82.78,3.5,us-east-1,"US East (N. Virginia)","AWS Region","North America",1,"",1,"on-demand, spot",ebs,hvm,0,nitro,x86_64,Intel,required,required,default,supported,1250.0,156.0,5000.0,10000.0,1250.0,40000.0,required,0.4,292.0,0.401,292.73
i7ie.12xlarge,i7ie,"Storage optimized","Intel Xeon Scalable (Emerald Rapids)","Intel AMX; Intel AVX; Intel AVX2; Intel AVX512; Intel Turbo",48.0,24.0,2.0,393216.0,384.0,"4 x 7500 NVMe SSD",30000.0,"Up to 50 Gigabit",0.0,0.0,0,"","",6.2376,4553.45,2.3095,1685.93,3.6,us-east-1,"US East (N. Virginia)","AWS Region","North America",1,"",1,"on-demand, spot",ebs,hvm,0,nitro,x86_64,Intel,required,required,default,supported,15000.0,1875.0,60000.0,15000.0,1875.0,60000.0,required,6.3626,4644.7,6.756,4931.88
i7ie.18xlarge,i7ie,"Storage optimized","Intel Xeon Scalable (Emerald Rapids)","Intel AMX; Intel AVX; Intel AVX2; Intel AVX512; Intel Turbo",72.0,36.0,2.0,589824.0,576.0,"6 x 7500 NVMe SSD",45000.0,"Up to 75 Gigabit",0.0,0.0,0,"","",9.3564,6830.17,2.672,1950.56,3.6,us-east-1,"US East (N. Virginia)","AWS Region","North America",1,"",1,"on-demand, spot",ebs,hvm,0,nitro,x86_64,Intel,required,required,default,supported,22500.0,2813.0,90000.0,22500.0,2813.0,90000.0,required,9.4814,6921.42,10.134,7397.82
i7ie.24xlarge,i7ie,"Storage optimized","Intel Xeon Scalable (Emerald Rapids)","Intel AMX; Intel AVX; Intel AVX2; Intel AVX512; Intel Turbo",96.0,48.0,2.0,786432.0,768.0,"8 x 7500 NVMe SSD",60000.0,"Up to 100 Gigabit",0.0,0.0,0,"","",12.4752,9106.9,3.5466,2589.02,3.6,us-east-1,"US East (N. Virginia)","AWS Region","North America",1,"",1,"on-demand, spot",ebs,hvm,0,nitro,x86_64,Intel,required,required,default,supported,30000.0,3750.0,120000.0,30000.0,3750.0,120000.0,required,12.6002,9198.15,13.512,9863.76
i7ie.2xlarge,i7ie,"Storage optimized","Intel Xeon Scalable (Emerald Rapids)","Intel AMX; Intel AVX; Intel AVX2; Intel AVX512; Intel Turbo",8.0,4.0,2.0,65536.0,64.0,"2 x 2500 NVMe SSD",5000.0,"Up to 25 Gigabit",0.0,0.0,0,"","",1.0396,758.91,0.2998,218.85,3.6,us-east-1,"US East (N. Virginia)","AWS Region","North America",1,"",1,"on-demand, spot",ebs,hvm,0,nitro,x86_64,Intel,required,required,default,supported,2500.0,313.0,10000.0,10000.0,1250.0,40000.0,required,1.1646,850.16,1.1548,843.0
i7ie.3xlarge,i7ie,"Storage optimized","Intel Xeon Scalable (Emerald Rapids)","Intel AMX; Intel AVX; Intel AVX2; Intel AVX512; Intel Turbo",12.0,6.0,2.0,98304.0,96.0,"1 x 7500 NVMe SSD",7500.0,"Up to 25 Gigabit",0.0,0.0,0,"","",1.5594,1138.36,0.3791,276.74,3.6,us-east-1,"US East (N. Virginia)","AWS Region","North America",1,"",1,"on-demand, spot",ebs,hvm,0,nitro,x86_64,Intel,required,required,default,supported,3750.0,469.0,15000.0,10000.0,1250.0,40000.0,required,1.6844,1229.61,1.689,1232.97
i7ie.48xlarge,i7ie,"Storage optimized","Intel Xeon Scalable (Emerald Rapids)","Intel AMX; Intel AVX; Intel AVX2; Intel AVX512; Intel Turbo",192.0,96.0,2.0,1572864.0,1536.0,"16 x 7500 NVMe SSD",120000.0,"100 Gigabit",0.0,0.0,0,"","",24.9504,18213.79,10.883,7944.59,3.6,us-east-1,"US East (N. Virginia)","AWS Region","North America",1,"",1,"on-demand, spot",ebs,hvm,0,nitro,x86_64,Intel,required,required,default,supported,60000.0,7500.0,240000.0,60000.0,7500.0,240000.0,required,25.0754,18305.04,26.7936,19559.33
i7ie.6xlarge,i7ie,"Storage optimized","Intel Xeon Scalable (Emerald Rapids)","Intel AMX; Intel AVX; Intel AVX2; Intel AVX512; Intel Turbo",24.0,12.0,2.0,196608.0,192.0,"2 x 7500 NVMe SSD",15000.0,"Up to 25 Gigabit",0.0,0.0,0,"","",3.1188,2276.72,1.1294,824.46,3.6,us-east-1,"US East (N. Virginia)","AWS Region","North America",1,"",1,"on-demand, spot",ebs,hvm,0,nitro,x86_64,Intel,required,required,default,supported,7500.0,938.0,30000.0,10000.0,1250.0,40000.0,required,3.2438,2367.97,3.378,2465.94
i7ie.large,i7ie,"Storage optimized","Intel Xeon Scalable (Emerald Rapids)","Intel AMX; Intel AVX; Intel AVX2; Intel AVX512; Intel Turbo",2.0,1.0,2.0,16384.0,16.0,"1 x 1250 NVMe SSD",1250.0,"Up to 25 Gigabit",0.0,0.0,0,"","",0.2599,189.73,0.0304,22.19,3.6,us-east-1,"US East (N. Virginia)","AWS Region","North America",1,"",1,"on-demand, spot",ebs,hvm,0,nitro,x86_64,Intel,required,required,default,supported,625.0,78.0,2500.0,10000.0,1250.0,40000.0,required,0.3162,230.83,0.2887,210.75
i7ie.metal-24xl,i7ie,"Storage optimized","Intel Xeon Scalable (Emerald Rapids)","Intel AMX; Intel AVX; Intel AVX2; Intel AVX512; Intel Turbo",96.0,48.0,2.0,786432.0,768.0,"8 x 7500 NVMe SSD",60000.0,"Up to 100 Gigabit",0.0,0.0,0,"","",12.4752,9106.9,1.2475,910.68,3.6,us-east-1,"US East (N. Virginia)","AWS Region","North America",1,"",1,"on-demand, spot",ebs,hvm,1,"",x86_64,Intel,required,required,default,supported,30000.0,3750.0,120000.0,30000.0,3750.0,120000.0,required,12.6002,9198.15,13.512,9863.76
i7ie.metal-48xl,i7ie,"Storage optimized","Intel Xeon Scalable (Emerald Rapids)","Intel AMX; Intel AVX; Intel AVX2; Intel AVX512; Intel Turbo",192.0,96.0,2.0,1572864.0,1536.0,"16 x 7500 NVMe SSD",120000.0,"100 Gigabit",0.0,0.0,0,"","",24.9504,18213.79,2.495,1821.35,3.6,us-east-1,"US East (N. Virginia)","AWS Region","North America",1,"",1,"on-demand, spot",ebs,hvm,1,"",x86_64,Intel,required,required,default,supported,60000.0,7500.0,240000.0,60000.0,7500.0,240000.0,required,25.0754,18305.04,26.7936,19559.33
i7ie.xlarge,i7ie,"Storage optimized","Intel Xeon Scalable (Emerald Rapids)","Intel AMX; Intel AVX; Intel AVX2; Intel AVX512; Intel Turbo",4.0,2.0,2.0,32768.0,32.0,"1 x 2500 NVMe SSD",2500.0,"Up to 25 Gigabit",0.0,0.0,0,"","",0.5198,379.45,0.1436,104.83,3.6,us-east-1,"US East (N. Virginia)","AWS Region","North America",1,"",1,"on-demand, spot",ebs,hvm,0,nitro,x86_64,Intel,required,required,default,supported,1250.0,156.0,5000.0,10000.0,1250.0,40000.0,required,0.5761,420.55,0.5774,421.5
i8g.12xlarge,i8g,"Storage optimized","AWS Graviton4 Processor","",48.0,48.0,1.0,393216.0,384.0,"3 x 3750GB",11250.0,"Up to 28.12 Gigabit",0.0,0.0,0,"","",4.1184,3006.43,0.6737,491.8,2.8,us-east-1,"US East (N. Virginia)","AWS Region","North America",1,"",1,"on-demand, spot",ebs,hvm,0,nitro,arm64,AWS,required,required,default,supported,15000.0,1875.0,60000.0,15000.0,1875.0,60000.0,required,4.2434,3097.68,4.6368,3384.86
i8g.16xlarge,i8g,"Storage optimized","AWS Graviton4 Processor","",64.0,64.0,1.0,524288.0,512.0,"4 x 3750GB",15000.0,"Up to 37.5 Gigabit",0.0,0.0,0,"","",5.4912,4008.58,0.8412,614.08,2.8,us-east-1,"US East (N. Virginia)","AWS Region","North America",1,"",1,"on-demand, spot",ebs,hvm,0,nitro,arm64,AWS,required,required,default,supported,20000.0,2500.0,80000.0,20000.0,2500.0,80000.0,required,5.6162,4099.83,6.1824,4513.15
i8g.24xlarge,i8g,"Storage optimized","AWS Graviton4 Processor","",96.0,96.0,1.0,786432.0,768.0,"6 x 3750GB",22500.0,"Up to 56.25 Gigabit",0.0,0.0,0,"","",8.2368,6012.86,1.2879,940.17,2.8,us-east-1,"US East (N. Virginia)","AWS Region","North America",1,"",1,"on-demand, spot",ebs,hvm,0,nitro,arm64,AWS,required,required,default,supported,30000.0,3750.0,120000.0,30000.0,3750.0,120000.0,required,8.3618,6104.11,9.2736,6769.73
i8g.2xlarge,i8g,"Storage optimized","AWS Graviton4 Processor","",8.0,8.0,1.0,65536.0,64.0,"1 x 1875GB",1875.0,"Up to 12 Gigabit",0.0,0.0,0,"","",0.6864,501.07,0.1473,107.53,2.8,us-east-1,"US East (N. Virginia)","AWS Region","North America",1,"",1,"on-demand, spot",ebs,hvm,0,nitro,arm64,AWS,required,required,default,supported,2500.0,313.0,10000.0,10000.0,1250.0,40000.0,required,0.8114,592.32,0.8016,585.17
i8g.48xlarge,i8g,"Storage optimized","AWS Graviton4 Processor","",192.0,192.0,1.0,1572864.0,1536.0,"12 x 3750GB",45000.0,"Up to 100 Gigabit",0.0,0.0,0,"","",16.4736,12025.73,0.0,0.0,2.8,us-east-1,"US East (N. Virginia)","AWS Region","North America",1,"",1,"on-demand, spot",ebs,hvm,0,nitro,arm64,AWS,required,required,default,supported,60000.0,7500.0,240000.0,60000.0,7500.0,240000.0,required,16.5986,12116.98,18.3168,13371.26
i8g.4xlarge,i8g,"Storage optimized","AWS Graviton4 Processor","",16.0,16.0,1.0,131072.0,128.0,"1 x 3750GB",3750.0,"Up to 25 Gigabit",0.0,0.0,0,"","",1.3728,1002.14,0.189,137.97,2.8,us-east-1,"US East (N. Virginia)","AWS Region","North America",1,"",1,"on-demand, spot",ebs,hvm,0,nitro,arm64,AWS,required,required,default,supported,5000.0,625.0,20000.0,10000.0,1250.0,40000.0,required,1.4978,1093.39,1.5456,1128.29
i8g.8xlarge,i8g,"Storage optimized","AWS Graviton4 Processor","",32.0,32.0,1.0,262144.0,256.0,"2 x 3750GB",7500.0,"Up to 25 Gigabit",0.0,0.0,0,"","",2.7456,2004.29,0.6659,486.11,2.8,us-east-1,"US East (N. Virginia)","AWS Region","North America",1,"",1,"on-demand, spot",ebs,hvm,0,nitro,arm64,AWS,required,required,default,supported,10000.0,1250.0,40000.0,10000.0,1250.0,40000.0,required,2.8706,2095.54,3.0912,2256.58
i8g.large,i8g,"Storage optimized","AWS Graviton4 Processor","",2.0,2.0,1.0,16384.0,16.0,"1 x 468GB",468.0,"Up to 10 Gigabit",0.0,0.0,0,"","",0.1716,125.27,0.0519,37.89,2.8,us-east-1,"US East (N. Virginia)","AWS Region","North America",1,"",1,"on-demand, spot",ebs,hvm,0,nitro,arm64,AWS,required,required,default,supported,625.0,78.0,2500.0,10000.0,1250.0,40000.0,required,0.2279,166.37,0.2004,146.29
i8g.metal-24xl,i8g,"Storage optimized","AWS Graviton4 Processor","",96.0,96.0,1.0,786432.0,768.0,"6 x 3750GB",22500.0,"Up to 56.25 Gigabit",0.0,0.0,0,"","",8.2368,6012.86,0.8237,601.3,2.8,us-east-1,"US East (N. Virginia)","AWS Region","North America",1,"",1,"on-demand, spot",ebs,hvm,1,"",arm64,AWS,required,required,default,supported,30000.0,3750.0,120000.0,30000.0,3750.0,120000.0,required,8.3618,6104.11,9.2736,6769.73
i8g.xlarge,i8g,"Storage optimized","AWS Graviton4 Processor","",4.0,4.0,1.0,32768.0,32.0,"1 x 937GB",937.0,"Up to 10 Gigabit",0.0,0.0,0,"","",0.3432,250.54,0.0769,56.14,2.8,us-east-1,"US East (N. Virginia)","AWS Region","North America",1,"",1,"on-demand, spot",ebs,hvm,0,nitro,arm64,AWS,required,required,default,supported,1250.0,156.0,5000.0,10000.0,1250.0,40000.0,required,0.3995,291.63,0.4008,292.58
