instanceType,vCpus,vCpuCores,memorySizeInGiB,gpuCount,gpuTotalGpuMemoryInGiB,onDemandLinuxHr,spotLinuxHr,vCpuThreadsPerCore,storageTotalSizeInGB,storage,networkPerformance,gpuName,processorClockSpeedInGhz,instanceFamilyName
c5ad.24xlarge,96.0,48.0,192.0,0,0.0,4.128,1.3334,2.0,3800.0,"2 x 1900 NVMe SSD","20 Gigabit","",3.3,"Compute optimized"
c5ad.2xlarge,8.0,4.0,16.0,0,0.0,0.344,0.1506,2.0,300.0,"1 x 300 NVMe SSD","Up to 10 Gigabit","",3.3,"Compute optimized"
c5ad.4xlarge,16.0,8.0,32.0,0,0.0,0.688,0.2898,2.0,600.0,"2 x 300 NVMe SSD","Up to 10 Gigabit","",3.3,"Compute optimized"
c5ad.8xlarge,32.0,16.0,64.0,0,0.0,1.376,0.6712,2.0,1200.0,"2 x 600 NVMe SSD","10 Gigabit","",3.3,"Compute optimized"
c5ad.large,2.0,1.0,4.0,0,0.0,0.086,0.0299,2.0,75.0,"1 x 75 NVMe SSD","Up to 10 Gigabit","",3.3,"Compute optimized"
c5ad.xlarge,4.0,2.0,8.0,0,0.0,0.172,0.0697,2.0,150.0,"1 x 150 NVMe SSD","Up to 10 Gigabit","",3.3,"Compute optimized"
c5d.12xlarge,48.0,24.0,96.0,0,0.0,2.304,0.7994,2.0,1800.0,"2 x 900 NVMe SSD","12 Gigabit","",3.6,"Compute optimized"
c5d.18xlarge,72.0,36.0,144.0,0,0.0,3.456,0.7476,2.0,1800.0,"2 x 900 NVMe SSD","25 Gigabit","",3.4,"Compute optimized"
c5d.24xlarge,96.0,48.0,192.0,0,0.0,4.608,1.2878,2.0,3600.0,"4 x 900 NVMe SSD","25 Gigabit","",3.6,"Compute optimized"
c5d.2xlarge,8.0,4.0,16.0,0,0.0,0.384,0.155,2.0,200.0,"1 x 200 NVMe SSD","Up to 10 Gigabit","",3.4,"Compute optimized"
c5d.4xlarge,16.0,8.0,32.0,0,0.0,0.768,0.3576,2.0,400.0,"1 x 400 NVMe SSD","Up to 10 Gigabit","",3.4,"Compute optimized"
c5d.9xlarge,36.0,18.0,72.0,0,0.0,1.728,0.587,2.0,900.0,"1 x 900 NVMe SSD","12 Gigabit","",3.4,"Compute optimized"
c5d.large,2.0,1.0,4.0,0,0.0,0.096,0.0337,2.0,50.0,"1 x 50 NVMe SSD","Up to 10 Gigabit","",3.4,"Compute optimized"
c5d.metal,96.0,48.0,192.0,0,0.0,4.608,0.5305,2.0,3600.0,"4 x 900 NVMe SSD","25 Gigabit","",3.6,"Compute optimized"
c5d.xlarge,4.0,2.0,8.0,0,0.0,0.192,0.0701,2.0,100.0,"1 x 100 NVMe SSD","Up to 10 Gigabit","",3.4,"Compute optimized"
c5n.18xlarge,72.0,36.0,192.0,0,0.0,3.888,0.6157,2.0,0.0,"EBS only","100 Gigabit","",3.4,"Compute optimized"
c5n.2xlarge,8.0,4.0,21.0,0,0.0,0.432,0.1927,2.0,0.0,"EBS only","Up to 25 Gigabit","",3.4,"Compute optimized"
c5n.4xlarge,16.0,8.0,42.0,0,0.0,0.864,0.382,2.0,0.0,"EBS only","Up to 25 Gigabit","",3.4,"Compute optimized"
c5n.9xlarge,36.0,18.0,96.0,0,0.0,1.944,0.6344,2.0,0.0,"EBS only","50 Gigabit","",3.4,"Compute optimized"
c5n.large,2.0,1.0,5.25,0,0.0,0.108,0.0354,2.0,0.0,"EBS only","Up to 25 Gigabit","",3.4,"Compute optimized"
c5n.metal,72.0,36.0,192.0,0,0.0,3.888,0.3916,2.0,0.0,"EBS only","100 Gigabit","",3.4,"Compute optimized"
c5n.xlarge,4.0,2.0,10.5,0,0.0,0.216,0.1,2.0,0.0,"EBS only","Up to 25 Gigabit","",3.4,"Compute optimized"
c6a.12xlarge,48.0,24.0,96.0,0,0.0,1.836,0.5169,2.0,0.0,"EBS only","18.75 Gigabit","",3.6,"Compute optimized"
c6a.16xlarge,64.0,32.0,128.0,0,0.0,2.448,0.8621,2.0,0.0,"EBS only","25 Gigabit","",3.6,"Compute optimized"
c6a.24xlarge,96.0,48.0,192.0,0,0.0,3.672,0.9896,2.0,0.0,"EBS only","37.5 Gigabit","",3.6,"Compute optimized"
c6a.2xlarge,8.0,4.0,16.0,0,0.0,0.306,0.1154,2.0,0.0,"EBS only","Up to 12.5 Gigabit","",3.6,"Compute optimized"
c6a.32xlarge,128.0,64.0,256.0,0,0.0,4.896,1.4178,2.0,0.0,"EBS only","50 Gigabit","",3.6,"Compute optimized"
c6a.48xlarge,192.0,96.0,384.0,0,0.0,7.344,1.8089,2.0,0.0,"EBS only","50 Gigabit","",3.6,"Compute optimized"
c6a.4xlarge,16.0,8.0,32.0,0,0.0,0.612,0.2546,2.0,0.0,"EBS only","Up to 12.5 Gigabit","",3.6,"Compute optimized"
c6a.8xlarge,32.0,16.0,64.0,0,0.0,1.224,0.4871,2.0,0.0,"EBS only","12.5 Gigabit","",3.6,"Compute optimized"
c6a.large,2.0,1.0,4.0,0,0.0,0.0765,0.0248,2.0,0.0,"EBS only","Up to 12.5 Gigabit","",3.6,"Compute optimized"
c6a.metal,192.0,96.0,384.0,0,0.0,7.344,0.9474,2.0,0.0,"EBS only","50 Gigabit","",3.6,"Compute optimized"
c6a.xlarge,4.0,2.0,8.0,0,0.0,0.153,0.0573,2.0,0.0,"EBS only","Up to 12.5 Gigabit","",3.6,"Compute optimized"
c6g.12xlarge,48.0,48.0,96.0,0,0.0,1.632,0.2557,1.0,0.0,"EBS only","20 Gigabit","",2.5,"Compute optimized"
c6g.16xlarge,64.0,64.0,128.0,0,0.0,2.176,0.2912,1.0,0.0,"EBS only","25 Gigabit","",2.5,"Compute optimized"
c6g.2xlarge,8.0,8.0,16.0,0,0.0,0.272,0.0787,1.0,0.0,"EBS only","Up to 10 Gigabit","",2.5,"Compute optimized"
c6g.4xlarge,16.0,16.0,32.0,0,0.0,0.544,0.1501,1.0,0.0,"EBS only","Up to 10 Gigabit","",2.5,"Compute optimized"
c6g.8xlarge,32.0,32.0,64.0,0,0.0,1.088,0.3025,1.0,0.0,"EBS only","12 Gigabit","",2.5,"Compute optimized"
c6g.large,2.0,2.0,4.0,0,0.0,0.068,0.0223,1.0,0.0,"EBS only","Up to 10 Gigabit","",2.5,"Compute optimized"
c6g.medium,1.0,1.0,2.0,0,0.0,0.034,0.0066,1.0,0.0,"EBS only","Up to 10 Gigabit","",2.5,"Compute optimized"
c6g.metal,64.0,64.0,128.0,0,0.0,2.176,0.2176,1.0,0.0,"EBS only","25 Gigabit","",2.5,"Compute optimized"
c6g.xlarge,4.0,4.0,8.0,0,0.0,0.136,0.0509,1.0,0.0,"EBS only","Up to 10 Gigabit","",2.5,"Compute optimized"
c6gd.12xlarge,48.0,48.0,96.0,0,0.0,1.8432,0.1843,1.0,2850.0,"2 x 1425 NVMe SSD","20 Gigabit","",2.5,"Compute optimized"
c6gd.16xlarge,64.0,64.0,128.0,0,0.0,2.4576,0.2458,1.0,3800.0,"2 x 1900 NVMe SSD","25 Gigabit","",2.5,"Compute optimized"
c6gd.2xlarge,8.0,8.0,16.0,0,0.0,0.3072,0.0308,1.0,474.0,"1 x 475 NVMe SSD","Up to 10 Gigabit","",2.5,"Compute optimized"
c6gd.4xlarge,16.0,16.0,32.0,0,0.0,0.6144,0.2002,1.0,950.0,"1 x 950 NVMe SSD","Up to 10 Gigabit","",2.5,"Compute optimized"
c6gd.8xlarge,32.0,32.0,64.0,0,0.0,1.2288,0.1993,1.0,1900.0,"1 x 1900 NVMe SSD","12 Gigabit","",2.5,"Compute optimized"
c6gd.large,2.0,2.0,4.0,0,0.0,0.0768,0.0237,1.0,118.0,"1 x 118 NVMe SSD","Up to 10 Gigabit","",2.5,"Compute optimized"
c6gd.medium,1.0,1.0,2.0,0,0.0,0.0384,0.0039,1.0,59.0,"1 x 59 NVMe SSD","Up to 10 Gigabit","",2.5,"Compute optimized"
c6gd.metal,64.0,64.0,128.0,0,0.0,2.4576,0.2458,1.0,3800.0,"2 x 1900 NVMe SSD","25 Gigabit","",2.5,"Compute optimized"
c6gd.xlarge,4.0,4.0,8.0,0,0.0,0.1536,0.0557,1.0,237.0,"1 x 237 NVMe SSD","Up to 10 Gigabit","",2.5,"Compute optimized"
